time_in_shelter_days,age_upon_outcome_(years),age_upon_outcome_(days)
0.2,8,2920
0.21,5,1825
24.03,8,2920
1.3,5,1825
11.97,5,1825
4.05,4,1460
26.35,5,1825
11.97,5,1825
4.06,4,1460
8.25,8,2920
8.76,8,2920
272.94,6,2190
1.26,8,2920
6.86,5,1825
8.35,15,5475
0.13,15,5475
0.01,14,5110
10.95,4,1460
1,16,5840
4.99,7,2555
1,14,5110
0.9,7,2555
0.84,7,2555
0.15,9,3285
0.1,11,4015
2.16,6,2190
0.05,7,2555
3.96,9,3285
12.38,7,2555
0.99,9,3285
89.03,8,2920
10.91,7,2555
10.04,7,2555
0.05,8,2920
44.45,7,2555
33.94,7,2555
0.14,5,1825
0.11,5,1825
0.06,4,1460
0.14,5,1825
0.11,5,1825
0.06,4,1460
140.93,11,4015
5.1,9,3285
6.76,9,3285
3.97,6,2190
11.17,5,1825
0.11,6,2190
7.26,5,1825
0.2,10,3650
9.96,8,2920
9.42,7,2555
45.01,7,2555
6.02,7,2555
26.99,7,2555
2.03,5,1825
0.81,5,1825
31.02,13,4745
0.05,13,4745
18.09,4,1460
0.08,11,4015
4.9,4,1460
1.89,7,2555
0.05,6,2190
248.61,7,2555
11,3,1095
5.85,4,1460
5.17,7,2555
255.06,6,2190
119.05,8,2920
21.19,6,2190
1.35,5,1825
9.17,7,2555
1.23,4,1460
0.09,4,1460
10.97,10,3650
0.11,16,5840
0.16,4,1460
10.97,10,3650
5.77,4,1460
8.7,2,730
1.58,7,2555
12.13,7,2555
3.07,12,4380
18.25,4,1460
10.92,6,2190
0.18,7,2555
9.24,4,1460
45.67,7,2555
35.06,4,1460
1.1,3,1095
1.91,4,1460
7.1,6,2190
0.02,5,1825
2.15,8,2920
188.77,5,1825
9.14,5,1825
64.4,7,2555
5.16,6,2190
0.08,5,1825
0.99,7,2555
55.16,4,1460
46.86,8,2920
0.18,6,2190
7.35,11,4015
0.05,5,1825
0.21,7,2555
1.73,7,2555
5.5,6,2190
34.06,6,2190
25.09,7,2555
19.1,7,2555
25.1,13,4745
13.81,7,2555
4.82,4,1460
0.27,7,2555
11.02,6,2190
2.7,11,4015
3.67,6,2190
198.73,6,2190
31.2,4,1460
9.98,6,2190
5.1,6,2190
4.99,6,2190
28.23,10,3650
6.21,11,4015
4.19,6,2190
28.14,7,2555
4.14,12,4380
0.12,9,3285
2.96,5,1825
7.02,6,2190
1.32,6,2190
311.47,6,2190
0.48,8,2920
0.2,9,3285
0.07,4,1460
1.05,6,2190
1.11,7,2555
0.85,8,2920
2.37,6,2190
2.22,8,2920
3.01,8,2920
0.79,5,1825
17.98,3,1095
10.25,4,1460
8.82,6,2190
0.73,12,4380
37.99,4,1460
11.36,4,1460
4.85,4,1460
4.85,4,1460
10.14,4,1460
0.99,7,2555
2.77,3,1095
77.22,3,1095
4.39,6,2190
0.05,7,2555
191.05,7,2555
0.01,7,2555
0.32,4,1460
1.82,5,1825
11.05,6,2190
11.14,5,1825
11.22,5,1825
0.98,5,1825
2.86,5,1825
4.05,7,2555
3,7,2555
1.04,7,2555
4.96,7,2555
0.18,9,3285
0.85,5,1825
39.98,7,2555
3.08,10,3650
0,9,3285
4.16,9,3285
2.01,4,1460
10.85,5,1825
49.12,5,1825
0.73,5,1825
5.95,6,2190
22.97,5,1825
5,4,1460
0.32,6,2190
1.89,11,4015
0.92,9,3285
3.07,8,2920
0.85,6,2190
0.02,8,2920
5.06,6,2190
14.09,7,2555
1.88,6,2190
0.06,4,1460
0.19,4,1460
8.76,6,2190
12.79,4,1460
