time_in_shelter_days,age_upon_outcome_(years),age_upon_outcome_(days)
13.26,7,2555
27.93,7,2555
0.13,0.575342466,210
12.98,0.575342466,210
11.71,2,730
72.96,0.410958904,150
0.83,0.082191781,30
1.74,13,4745
48.52,0.164383562,60
48.05,0.164383562,60
50.9,0.164383562,60
48.01,0.164383562,60
0.81,0.057534247,21
0.81,0.057534247,21
0.81,0.057534247,21
40.59,1,365
32.18,0.821917808,300
32.03,0.575342466,210
0.96,2,730
78.95,2,730
4.68,0.493150685,180
4.68,0.493150685,180
3.21,0.493150685,180
3.21,0.493150685,180
3.21,0.493150685,180
0.13,8,2920
8.86,10,3650
42.2,0.246575342,90
4.28,0.164383562,60
0.04,8,2920
0.34,2,730
6.05,2,730
21.17,2,730
6.05,2,730
21.17,2,730
3.04,1,365
1.01,1,365
4.27,3,1095
0.96,0.038356164,14
4.18,1,365
0.98,0.328767123,120
4.13,1,365
3.96,4,1460
4.04,2,730
11.95,0.164383562,60
27.92,0.164383562,60
7.08,0.164383562,60
4.1,0.164383562,60
4.09,0.164383562,60
11.95,0.164383562,60
7.05,0.164383562,60
1.67,0.057534247,21
16.1,4,1460
87.02,3,1095
87.02,1,365
0.06,1,365
26.99,0.575342466,210
3.68,2,730
7.25,8,2920
8.37,4,1460
5.1,3,1095
8.37,5,1825
4.25,1,365
1.18,1,365
11.04,0.575342466,210
2.07,2,730
15.17,2,730
6.35,2,730
1.09,1,365
0.05,3,1095
17.45,2,730
18.05,2,730
22.13,2,730
27.82,0.246575342,90
14.06,0.164383562,60
12.95,0.246575342,90
14.06,0.164383562,60
4.2,0.164383562,60
4.22,0.164383562,60
4.12,3,1095
0.76,1,365
0.18,6,2190
4.14,0.575342466,210
1.92,9,3285
9.79,0.410958904,150
9.98,2,730
2.95,2,730
0.09,5,1825
0.07,1,365
0.06,3,1095
0.04,0.739726027,270
31.94,1,365
4.65,0.076712329,28
4.65,0.076712329,28
4.65,0.076712329,28
3.7,4,1460
0.67,8,2920
58.31,1,365
0.23,3,1095
5.07,2,730
7.25,0.082191781,30
12.54,1,365
0.06,4,1460
17.05,0.410958904,150
1.11,0.410958904,150
2.94,4,1460
5.15,11,4015
2.18,0.821917808,300
10.08,0.164383562,60
10.08,0.164383562,60
18.13,0.493150685,180
20.14,2,730
4.13,7,2555
12.06,1,365
0.22,2,730
0.07,0.493150685,180
14.2,3,1095
0.03,0.076712329,28
5.08,2,730
56.85,2,730
6.09,10,3650
10.12,1,365
3.74,2,730
5.1,0.328767123,120
14.79,0.082191781,30
14.79,0.082191781,30
14.79,0.082191781,30
36.04,3,1095
3.87,0.821917808,300
3.86,0.821917808,300
2.69,4,1460
10.17,10,3650
8.02,0.575342466,210
27.13,0.739726027,270
1.1,1,365
8.08,3,1095
0.08,0.164383562,60
0.02,0.246575342,90
6.82,6,2190
13.93,0.246575342,90
6.81,1,365
4.12,0.575342466,210
4.12,0.575342466,210
44.97,2,730
99.02,2,730
0.04,2,730
6.98,0.493150685,180
28.62,3,1095
0.75,3,1095
111.65,8,2920
121.49,2,730
0.2,2,730
8.04,0.328767123,120
40.95,0.164383562,60
40.95,0.164383562,60
27.88,1,365
0.74,2,730
5.92,0.657534247,240
0.05,0.019178082,7
8.02,0.246575342,90
0.21,0.082191781,30
5.19,1,365
0.7,1,365
14.18,2,730
0.89,8,2920
67.79,3,1095
1.02,14,5110
4.88,0.164383562,60
24.88,0.410958904,150
0.03,1,365
5.03,0.657534247,240
6,1,365
6.1,0.164383562,60
7.87,2,730
7.87,2,730
0.58,1,365
4.97,1,365
4.03,1,365
4.03,1,365
0.1,0.328767123,120
5.01,0.082191781,30
4.96,0.164383562,60
8.75,0.164383562,60
22.84,2,730
3.97,2,730
0.88,6,2190
0.53,1,365
0.01,2,730
0.07,2,730
0.73,2,730
0.01,2,730
0.06,2,730
0.73,2,730
25.42,0.164383562,60
10.02,5,1825
37.27,1,365
48.38,0.164383562,60
40.35,0.164383562,60
0.98,2,730
21,0.082191781,30
12.01,0.821917808,300
4.08,0.575342466,210
4.19,0.164383562,60
4.1,0.246575342,90
80.23,10,3650
7.15,5,1825
69.51,5,1825
0.48,0.164383562,60
0.48,0.164383562,60
4.06,2,730
4.06,2,730
16.19,0.164383562,60
10.14,0.575342466,210
4.25,0.164383562,60
0.77,1,365
4.08,1,365
3.98,1,365
8.85,5,1825
4.07,1,365
13.83,1,365
14.04,3,1095
0.1,0.657534247,240
0.01,1,365
4.04,2,730
0,2,730
0.11,0.038356164,14
0.11,0.038356164,14
0.11,9,3285
4.85,3,1095
6.88,0.328767123,120
28.92,0.164383562,60
3.82,0.246575342,90
0.73,8,2920
5.14,5,1825
11.97,2,730
5.31,2,730
58.13,1,365
0.98,0.057534247,21
0.98,0.057534247,21
23.32,2,730
0.98,0.057534247,21
0.98,0.057534247,21
0.98,0.057534247,21
6.14,0.082191781,30
6.14,0.082191781,30
6.14,0.082191781,30
4.26,0.164383562,60
4.26,0.246575342,90
0.07,1,365
3.94,1,365
17.21,0.246575342,90
10.26,0.246575342,90
8.37,0.246575342,90
10.04,2,730
3.07,0.328767123,120
1.74,2,730
4.09,0.328767123,120
15.97,1,365
4.11,0.164383562,60
2.03,0.164383562,60
5.12,0.164383562,60
4.07,0.164383562,60
3.37,0.164383562,60
28.89,0.328767123,120
49.08,6,2190
0.84,0.657534247,240
19.91,0.082191781,30
0.84,3,1095
5.85,0.164383562,60
3.69,0.493150685,180
0.81,9,3285
44.94,0.164383562,60
42.9,0.164383562,60
42.9,0.164383562,60
42.9,0.164383562,60
11.39,3,1095
8.19,1,365
4.76,1,365
4.28,0.328767123,120
18.14,0.328767123,120
16.25,0.328767123,120
14.03,0.328767123,120
18.12,0.328767123,120
18.12,0.328767123,120
4.13,2,730
8.84,1,365
4.21,0.164383562,60
0.8,2,730
5.12,0.164383562,60
6.12,0.164383562,60
13.07,0.164383562,60
13.07,0.164383562,60
28.37,1,365
23.92,1,365
123.92,0.410958904,150
8.18,0.739726027,270
41,2,730
59.4,1,365
45.99,0.164383562,60
46.84,0.164383562,60
43.01,0.164383562,60
45.99,0.164383562,60
12.76,2,730
4.01,2,730
5.98,0.410958904,150
6.04,0.410958904,150
5.03,0.410958904,150
0.78,2,730
2.93,0.076712329,28
2.93,0.076712329,28
10.33,0.821917808,300
1.16,9,3285
24.21,0.246575342,90
5.32,0.164383562,60
4.24,0.082191781,30
5.33,3,1095
5.33,0.493150685,180
5.33,2,730
39.82,0.164383562,60
0.08,5,1825
0.05,0.739726027,270
21.17,0.904109589,330
0.05,10,3650
5.27,3,1095
5.27,3,1095
4.22,0.410958904,150
0.11,6,2190
42.1,0.164383562,60
39.73,0.164383562,60
45.16,0.164383562,60
3.28,3,1095
0.03,3,1095
10.91,5,1825
1.9,0.657534247,240
4.01,0.164383562,60
5.04,0.164383562,60
13.91,0.328767123,120
6.97,3,1095
0.09,2,730
1.82,3,1095
69.05,2,730
70.1,1,365
0.82,10,3650
0.82,6,2190
21.82,2,730
24.83,0.246575342,90
29.87,0.246575342,90
22.94,0.246575342,90
8.54,7,2555
115.19,1,365
0.72,2,730
8.15,2,730
50.84,0.164383562,60
50.84,0.164383562,60
1.95,0.082191781,30
1.95,0.082191781,30
1.95,0.082191781,30
4.35,0.821917808,300
4.35,1,365
1.07,0.164383562,60
4.26,0.821917808,300
6.21,2,730
0.16,3,1095
4.3,1,365
0.24,3,1095
0.51,1,365
6,0.739726027,270
6.19,0.328767123,120
6.22,0.328767123,120
10.15,1,365
1.15,0.657534247,240
21.18,0.164383562,60
32.08,4,1460
9.04,1,365
46.3,1,365
45.95,1,365
11.1,1,365
3.01,0.164383562,60
7.85,5,1825
1.84,8,2920
3.93,2,730
0.04,10,3650
19.82,0.493150685,180
46.92,0.575342466,210
0.68,1,365
4.87,1,365
39.04,1,365
39.04,1,365
0.04,2,730
2.02,0.575342466,210
7.99,2,730
3.79,2,730
0.03,6,2190
9.98,1,365
4.78,0.164383562,60
131.76,2,730
71.51,0.164383562,60
66.52,0.164383562,60
66.53,0.164383562,60
69.91,0.164383562,60
69.93,0.164383562,60
69.94,0.164383562,60
72.63,0.164383562,60
19.59,0.739726027,270
10.38,3,1095
0.07,1,365
21.29,0.164383562,60
0.93,4,1460
0.94,13,4745
0.09,1,365
3.19,2,730
15.11,2,730
4.03,5,1825
7.14,0.575342466,210
7.91,10,3650
0.32,7,2555
2.94,14,5110
7.89,1,365
0.01,1,365
63.95,0.904109589,330
7.09,7,2555
13.79,2,730
0.06,2,730
2,1,365
48.81,2,730
4.98,0.410958904,150
4.93,0.410958904,150
0.77,5,1825
8.24,8,2920
0.07,0.038356164,14
10.34,3,1095
12.19,3,1095
50.26,3,1095
4.23,0.164383562,60
4.28,0.082191781,30
5.28,0.082191781,30
5.36,0.082191781,30
5.29,0.082191781,30
13.19,0.164383562,60
5.28,0.082191781,30
4.21,0.082191781,30
4.29,0.164383562,60
14.15,0.164383562,60
14.15,0.164383562,60
6.01,0.657534247,240
6.14,1,365
76.84,0.246575342,90
11.05,1,365
25.12,6,2190
73.03,0.246575342,90
4.12,0.493150685,180
18.17,7,2555
0.2,10,3650
11.92,1,365
0.2,4,1460
5.19,2,730
37.79,10,3650
2.67,0.082191781,30
3.17,1,365
1.02,5,1825
18.93,1,365
9.13,0.328767123,120
5.05,2,730
0.97,2,730
3.82,0.246575342,90
3.04,0.246575342,90
3.02,0.657534247,240
0.41,6,2190
62.95,0.164383562,60
59.33,0.164383562,60
59.33,0.164383562,60
59.33,0.164383562,60
59.3,0.164383562,60
60.31,0.164383562,60
60.31,0.164383562,60
59.35,0.164383562,60
4.22,0.164383562,60
1.11,0.082191781,30
9,0.904109589,330
0.91,0.493150685,180
5.13,0.493150685,180
3.13,0.328767123,120
5.02,1,365
1,2,730
4.09,1,365
3.92,0.328767123,120
4.9,4,1460
8.23,2,730
3.87,1,365
1,2,730
3.87,0.657534247,240
1.93,0.575342466,210
9.03,0.657534247,240
57.97,0.904109589,330
32.01,2,730
16.88,4,1460
4.03,2,730
106.05,2,730
6.65,10,3650
6.65,10,3650
48.87,0.082191781,30
48.37,0.082191781,30
102.01,0.246575342,90
102.01,0.246575342,90
102.01,0.246575342,90
3.98,12,4380
0.8,0.082191781,30
71.07,0.246575342,90
3.98,8,2920
0.03,1,365
51.15,1,365
31.22,4,1460
43.21,6,2190
14.98,16,5840
9.07,7,2555
9.07,7,2555
87.4,2,730
0.29,2,730
21.92,1,365
4.13,2,730
3.08,0.164383562,60
85.89,7,2555
27.13,8,2920
14.01,5,1825
5.06,0.575342466,210
5.05,0.328767123,120
5.05,0.328767123,120
13.8,1,365
13.8,1,365
7.83,1,365
7.95,1,365
1.95,0.164383562,60
1.95,0.164383562,60
1.95,0.164383562,60
1.95,0.164383562,60
1.95,0.164383562,60
1.95,0.164383562,60
1.95,0.164383562,60
3.95,11,4015
6.11,11,4015
2.85,11,4015
8.92,0.493150685,180
0.41,2,730
0.41,0.076712329,28
0.41,0.076712329,28
0.41,0.076712329,28
0.41,0.076712329,28
41.29,0.410958904,150
4.23,0.164383562,60
0.02,1,365
0.51,2,730
1.09,2,730
30.22,0.082191781,30
7.09,0.164383562,60
40.81,0.164383562,60
30.21,0.082191781,30
11.11,4,1460
44.48,2,730
9.23,1,365
4.21,0.493150685,180
5.17,0.164383562,60
5.02,0.164383562,60
13.06,0.246575342,90
0.04,10,3650
4.95,1,365
29.21,6,2190
0.1,2,730
49.18,5,1825
3.93,12,4380
0.05,1,365
11.96,3,1095
38.66,0.164383562,60
38.66,0.164383562,60
38.65,0.164383562,60
4.01,2,730
0.87,5,1825
19.17,0.657534247,240
5.89,0.657534247,240
1.89,2,730
2.93,10,3650
4.07,0.821917808,300
4.07,0.821917808,300
4.07,0.821917808,300
4.07,0.821917808,300
3.22,1,365
34.95,0.082191781,30
88.14,3,1095
76.11,3,1095
48.31,3,1095
3.02,9,3285
4.23,0.493150685,180
3.96,2,730
40.1,4,1460
6.89,2,730
19.18,1,365
71.37,1,365
43.98,2,730
117.94,2,730
117.79,4,1460
117.79,4,1460
3.88,1,365
29.02,3,1095
0.09,0.657534247,240
26.84,3,1095
4.07,0.076712329,28
0.95,0.019178082,7
0.95,0.019178082,7
0.76,0.019178082,7
4.91,1,365
5,0.821917808,300
4.33,2,730
8.22,0.657534247,240
1.19,1,365
4.24,0.410958904,150
0.98,0.575342466,210
31.99,2,730
0.07,1,365
1.14,1,365
2.14,1,365
6.18,2,730
4.18,2,730
13.14,2,730
10.07,5,1825
4.08,2,730
0.77,1,365
6.07,2,730
15.18,2,730
0.04,2,730
0.17,5,1825
37.92,0.246575342,90
0.05,0.082191781,30
7.99,0.164383562,60
10.9,0.164383562,60
4.79,1,365
0.66,2,730
18.79,0.246575342,90
19.96,0.246575342,90
16.94,0.246575342,90
3.13,4,1460
0.71,1,365
12.98,1,365
38.85,3,1095
11.06,2,730
8.65,6,2190
1.22,2,730
2.34,1,365
1,1,365
1,1,365
0.1,13,4745
1.26,7,2555
4.29,0.328767123,120
6.11,6,2190
35.2,6,2190
0.07,0.076712329,28
66.2,1,365
6.42,2,730
1.13,0.164383562,60
4.06,9,3285
6.11,1,365
4.89,7,2555
7.98,7,2555
12.04,2,730
0.79,7,2555
4.05,0.821917808,300
11.89,0.821917808,300
11.02,1,365
4.06,5,1825
31.91,0.164383562,60
6.93,1,365
0.69,0.575342466,210
12.9,0.164383562,60
9.87,2,730
15.28,2,730
10.22,0.493150685,180
0.91,2,730
9.28,0.821917808,300
48.18,1,365
50.27,5,1825
111.09,0.328767123,120
20.17,0.082191781,30
6.25,0.164383562,60
5.11,2,730
6.21,1,365
3.25,0.821917808,300
11.22,2,730
0.01,1,365
0.97,1,365
5.13,0.246575342,90
0.22,1,365
0.03,1,365
9.03,0.164383562,60
46.06,0.164383562,60
26.98,0.246575342,90
0.13,2,730
3.19,0.410958904,150
3.19,0.410958904,150
3.17,1,365
3.17,1,365
4.86,7,2555
9.02,0.410958904,150
0.01,1,365
64.95,1,365
3.04,0.246575342,90
6.63,1,365
0.76,7,2555
3.02,1,365
8.73,0.164383562,60
0.43,1,365
2.29,3,1095
5.25,3,1095
48.06,0.164383562,60
48.07,0.164383562,60
48.07,0.164383562,60
48.06,0.164383562,60
4.24,0.493150685,180
4.22,0.821917808,300
4.04,1,365
0.46,3,1095
4.09,1,365
20.03,1,365
23.3,1,365
43.15,1,365
4.03,0.493150685,180
12.15,7,2555
0.26,1,365
101.09,1,365
5.17,1,365
8.08,3,1095
0.84,0.493150685,180
4.02,0.246575342,90
10.02,0.739726027,270
0.77,0.739726027,270
3.99,1,365
1.92,2,730
3.81,0.246575342,90
3.81,0.246575342,90
3.81,0.657534247,240
33.08,1,365
2.78,1,365
5.01,0.328767123,120
1.04,0.082191781,30
20.87,0.739726027,270
1.68,0.082191781,30
1.04,0.082191781,30
1.04,0.082191781,30
1.04,0.082191781,30
1.04,0.082191781,30
0.23,0.082191781,30
1.04,0.082191781,30
0.03,1,365
0.52,0.082191781,30
0.52,0.082191781,30
8.07,8,2920
77.27,6,2190
6.88,1,365
0.12,0.082191781,30
0.12,0.082191781,30
0,2,730
0.19,2,730
10.03,0.164383562,60
4.24,0.328767123,120
4.94,0.082191781,30
0.09,3,1095
4.13,0.410958904,150
14.93,2,730
5.02,0.164383562,60
4.9,10,3650
0.02,1,365
11.82,1,365
4.97,0.164383562,60
3.81,15,5475
1.65,0.328767123,120
1.65,0.328767123,120
43.87,1,365
99.8,1,365
1.95,2,730
7.57,2,730
10.99,7,2555
0.09,3,1095
30.96,1,365
69.21,0.493150685,180
2.06,0.821917808,300
4.14,0.821917808,300
32.25,0.164383562,60
0.91,0.164383562,60
34.21,0.164383562,60
33.11,0.164383562,60
32.01,0.164383562,60
9.18,0.739726027,270
13.17,0.739726027,270
0.08,2,730
6.88,1,365
0.61,0.076712329,28
0.61,0.076712329,28
4.36,1,365
5,4,1460
3.96,0.493150685,180
72.98,2,730
7.01,10,3650
0.72,1,365
5.87,3,1095
7.49,0.493150685,180
10.43,0.328767123,120
5.28,0.575342466,210
1.18,5,1825
9.11,0.328767123,120
48.23,9,3285
5.2,0.657534247,240
71.89,9,3285
97.09,8,2920
97.09,8,2920
71.89,8,2920
2.95,3,1095
0.08,1,365
1.03,7,2555
30.99,0.164383562,60
5.03,7,2555
14.1,1,365
2.93,0.821917808,300
7.89,2,730
0.91,0.739726027,270
0.9,5,1825
6.03,13,4745
4.88,0.246575342,90
5.06,0.328767123,120
1.95,1,365
1.17,0.904109589,330
1.83,0.739726027,270
1.17,0.904109589,330
1.83,0.739726027,270
8.05,2,730
6.96,0.410958904,150
4.74,1,365
0.29,2,730
0.29,0.328767123,120
0.9,2,730
0.23,0.657534247,240
5.06,0.164383562,60
6.31,0.164383562,60
4.07,0.328767123,120
8.2,8,2920
35.88,0.082191781,30
35.89,0.082191781,30
6.13,0.657534247,240
18.99,1,365
63.19,2,730
2.07,2,730
2.07,2,730
6.13,1,365
131.16,5,1825
6.29,0.246575342,90
6.13,0.246575342,90
2.08,0.164383562,60
116.35,2,730
18.14,0.082191781,30
18.14,0.082191781,30
7.19,0.246575342,90
6.08,0.246575342,90
6.21,2,730
7.01,3,1095
5.12,2,730
6.1,2,730
5.67,0.019178082,7
5.67,0.019178082,7
5.74,0.019178082,7
5.74,0.019178082,7
5.74,0.019178082,7
5.75,0.019178082,7
5.75,0.019178082,7
2.86,2,730
36.04,2,730
0.78,0.657534247,240
12.8,1,365
6.24,2,730
3.05,2,730
3.74,2,730
4.03,2,730
1.01,2,730
8.19,2,730
1.01,2,730
4.01,3,1095
11.02,2,730
7.79,3,1095
3.35,16,5840
5.39,1,365
5.32,1,365
0.04,0.657534247,240
6.35,0.657534247,240
0.08,1,365
2.52,2,730
42.96,0.657534247,240
11.06,0.575342466,210
3.17,0.410958904,150
5.24,0.410958904,150
6.3,0.493150685,180
3.98,2,730
1.03,2,730
7.92,9,3285
3.01,7,2555
33.9,6,2190
7.21,3,1095
0.12,0.082191781,30
3.17,0.821917808,300
49.12,0.164383562,60
45.12,0.164383562,60
11.2,0.493150685,180
18,0.821917808,300
2.04,2,730
0.89,2,730
6.07,2,730
4.97,11,4015
8.08,3,1095
4.89,2,730
1.01,0.493150685,180
1.01,0.493150685,180
5.07,1,365
5.07,1,365
13.74,0.739726027,270
25.14,0.575342466,210
32.93,1,365
0.15,12,4380
9.1,3,1095
2.3,2,730
45.01,0.328767123,120
3.97,0.657534247,240
6.96,0.821917808,300
87.88,1,365
6.91,1,365
5.35,12,4380
0.13,10,3650
0.43,3,1095
4.07,0.082191781,30
3.01,3,1095
0.2,0.057534247,21
10.1,0.246575342,90
4.23,0.164383562,60
2.52,0.057534247,21
52.24,2,730
5.2,5,1825
5.22,7,2555
7.98,1,365
6.19,1,365
5.25,0.410958904,150
1.44,0.821917808,300
3.11,0.821917808,300
0.84,0.328767123,120
41.18,1,365
5.25,0.164383562,60
28.85,3,1095
0.89,3,1095
6.06,0.493150685,180
3.74,1,365
3.96,2,730
10.95,2,730
19.01,2,730
8.87,2,730
19.01,2,730
8.04,1,365
22.86,12,4380
6.74,0.410958904,150
63.38,1,365
0.09,2,730
0.49,1,365
5.02,0.410958904,150
26.44,0.410958904,150
5.32,1,365
7.13,1,365
3.27,2,730
1.26,1,365
27.08,2,730
3.33,2,730
36.04,2,730
16.1,0.821917808,300
6.06,0.164383562,60
6.01,0.164383562,60
18.06,2,730
49,1,365
4.01,0.246575342,90
5.01,4,1460
19.03,2,730
9.03,1,365
3.9,2,730
2.82,2,730
0.71,2,730
0.29,13,4745
35.33,0.493150685,180
10.21,8,2920
0.27,10,3650
2.19,7,2555
3.08,0.246575342,90
2.08,0.164383562,60
15.99,0.493150685,180
3.21,0.821917808,300
43.2,0.657534247,240
43.2,0.657534247,240
29.17,0.575342466,210
15.03,1,365
2.14,0.164383562,60
2.69,9,3285
15.97,9,3285
27.19,3,1095
1.54,1,365
4.1,1,365
7.78,0.082191781,30
0.81,7,2555
0.77,9,3285
53.93,0.657534247,240
6,3,1095
0.02,1,365
0.07,0.493150685,180
0.05,0.493150685,180
1.19,2,730
10.04,2,730
5.09,0.246575342,90
5.09,0.246575342,90
5.09,0.246575342,90
7.23,0.246575342,90
1.19,3,1095
77.95,9,3285
54.01,9,3285
5.84,4,1460
7.99,10,3650
1.8,13,4745
0.02,0.410958904,150
4.06,0.082191781,30
0.05,1,365
3.94,0.164383562,60
10.77,0.164383562,60
3.94,0.164383562,60
0.77,2,730
7.23,3,1095
6.01,2,730
2.07,1,365
5.14,2,730
6.07,1,365
23.22,1,365
17.19,3,1095
14.16,3,1095
30.25,3,1095
4.08,3,1095
17.92,3,1095
4.14,1,365
4.11,0.657534247,240
6.2,0.164383562,60
9.05,0.246575342,90
4.99,6,2190
73.87,6,2190
23.13,1,365
4.86,0.657534247,240
13.14,2,730
0.64,0.246575342,90
6.03,0.164383562,60
3.93,0.164383562,60
15.88,9,3285
0.03,7,2555
6.08,2,730
6.08,2,730
4.34,2,730
4.34,2,730
5.09,0.164383562,60
4.44,0.082191781,30
0.2,0.057534247,21
0.2,0.057534247,21
0.2,0.057534247,21
0.2,0.057534247,21
0.24,5,1825
0.12,0.010958904,4
11.09,6,2190
110.24,1,365
5.18,0.739726027,270
4.17,1,365
3.29,0.493150685,180
3.29,0.493150685,180
13.06,0.493150685,180
14.22,2,730
42.82,0.739726027,270
0.01,3,1095
38.96,1,365
6.01,3,1095
3.09,6,2190
11.87,2,730
5.76,5,1825
9.13,2,730
3.74,2,730
0.74,3,1095
3.34,1,365
13,1,365
46.97,2,730
10.25,1,365
4.16,2,730
0.02,3,1095
10.13,5,1825
0.07,2,730
1.9,0.821917808,300
7.03,0.657534247,240
3.16,1,365
74.11,12,4380
0.08,5,1825
29.86,3,1095
8.93,0.164383562,60
11.14,1,365
0.05,1,365
5.63,6,2190
1.85,9,3285
45.91,4,1460
0.71,8,2920
35.9,0.246575342,90
3.96,0.493150685,180
80.21,2,730
2.06,5,1825
59.27,8,2920
10.15,1,365
26.16,11,4015
19.18,11,4015
22.08,1,365
10.22,0.164383562,60
19.17,1,365
45.28,0.246575342,90
21.26,0.164383562,60
45.1,0.246575342,90
0.52,0.082191781,30
21.19,3,1095
3.27,3,1095
7.05,0.739726027,270
8.98,0.493150685,180
6.12,0.493150685,180
4.96,0.410958904,150
6.01,0.410958904,150
0.66,0.076712329,28
0.66,0.076712329,28
0.66,0.076712329,28
0.67,0.076712329,28
0.67,0.076712329,28
0.67,0.076712329,28
0.67,0.076712329,28
0.66,0.076712329,28
0.66,0.076712329,28
0.66,0.076712329,28
0.66,0.076712329,28
0.05,1,365
56.07,0.164383562,60
0.93,0.076712329,28
0.93,0.076712329,28
0.93,0.076712329,28
0.93,0.076712329,28
0.93,0.076712329,28
0.93,1,365
2.88,2,730
0.04,2,730
54,2,730
0.04,2,730
30.94,0.082191781,30
10.87,1,365
30.94,0.082191781,30
0.03,2,730
30.87,0.082191781,30
30.94,0.082191781,30
28.05,0.082191781,30
3.9,0.164383562,60
34.02,0.082191781,30
11.96,2,730
10.13,2,730
32.91,2,730
5.83,2,730
0.04,2,730
0,2,730
9.22,2,730
10.09,1,365
1.16,6,2190
8.02,1,365
8.1,1,365
0.04,10,3650
0.17,2,730
0.98,2,730
0.17,2,730
0.98,2,730
11.02,1,365
5,0.082191781,30
5,0.082191781,30
5,0.082191781,30
59.06,3,1095
37.05,0.575342466,210
4.96,0.657534247,240
5.78,7,2555
0.03,1,365
42.99,0.164383562,60
46.84,0.164383562,60
43.03,0.164383562,60
0.33,0.164383562,60
43.81,0.164383562,60
46.84,0.164383562,60
80.75,0.246575342,90
35.78,6,2190
24.95,0.328767123,120
21.93,0.328767123,120
7.92,0.246575342,90
10.15,0.328767123,120
7.95,0.246575342,90
1.05,0.328767123,120
7.95,0.246575342,90
3.95,2,730
11.83,1,365
0.25,2,730
2.04,2,730
4.24,0.164383562,60
8.95,2,730
3.23,1,365
21.23,2,730
7.1,0.410958904,150
14.07,0.410958904,150
0.88,1,365
4.25,1,365
38.2,1,365
4.23,1,365
3.97,4,1460
1.25,4,1460
4.23,0.657534247,240
47.12,2,730
26.17,2,730
25.8,0.057534247,21
26.17,0.057534247,21
24.91,0.057534247,21
19.77,0.057534247,21
5.03,5,1825
56.87,0.246575342,90
56.87,0.246575342,90
56.87,0.246575342,90
56.87,0.246575342,90
0.77,2,730
8.11,0.657534247,240
3.91,0.410958904,150
3.08,4,1460
4.82,2,730
6.96,5,1825
6.96,2,730
19.95,2,730
70.1,2,730
9.95,2,730
3.97,0.164383562,60
4.06,0.164383562,60
10.15,0.328767123,120
0.17,0.657534247,240
4.1,0.904109589,330
39.18,0.904109589,330
4.27,0.164383562,60
39.14,0.164383562,60
26.27,0.082191781,30
45.01,0.164383562,60
45,0.164383562,60
40.25,0.164383562,60
40.21,0.164383562,60
40.21,0.164383562,60
5.07,0.164383562,60
25.02,2,730
5.97,0.410958904,150
0.96,8,2920
42.01,2,730
0.18,16,5840
42,1,365
5.97,0.575342466,210
5,7,2555
9.64,1,365
5.26,1,365
0.34,1,365
67.98,1,365
7.17,0.904109589,330
0.09,0.739726027,270
6.87,0.493150685,180
0.98,12,4380
4.86,0.328767123,120
0.64,1,365
112.07,1,365
3.09,0.164383562,60
0.11,0.657534247,240
35.24,5,1825
15.09,14,5110
19.3,10,3650
4.09,1,365
5.26,0.082191781,30
4.2,2,730
4.2,1,365
35.17,2,730
4.06,0.328767123,120
5.23,0.328767123,120
17.06,0.328767123,120
13.19,0.328767123,120
12.25,0.328767123,120
13.04,0.328767123,120
6.02,2,730
4.06,0.328767123,120
4.06,0.328767123,120
17.06,0.328767123,120
17.06,0.328767123,120
7.02,5,1825
0.22,1,365
0.04,1,365
1.2,1,365
16.18,3,1095
0.86,1,365
22.07,15,5475
5.13,0.739726027,270
0.98,0.082191781,30
2.05,0.657534247,240
10.07,2,730
26.96,0.739726027,270
2.95,2,730
5.8,2,730
3.78,0.328767123,120
10.75,11,4015
46.84,3,1095
0.36,14,5110
3.14,0.328767123,120
1.03,4,1460
15.21,0.821917808,300
6.33,1,365
6.23,1,365
7.01,3,1095
11.08,2,730
3.27,2,730
6.27,0.082191781,30
6.21,0.082191781,30
5.98,10,3650
24.08,1,365
2.21,1,365
24.2,1,365
0.8,1,365
20.97,0.493150685,180
10.19,0.328767123,120
4.96,0.328767123,120
6.13,0.657534247,240
32.06,12,4380
16.07,2,730
0.4,2,730
0.17,2,730
12.08,4,1460
8.1,1,365
3.12,1,365
0.05,1,365
2.16,1,365
3.01,1,365
8.88,5,1825
4.9,1,365
4.02,5,1825
2.88,8,2920
0.72,1,365
24.97,1,365
6.06,0.082191781,30
2.92,12,4380
4.08,2,730
4.08,3,1095
4.07,5,1825
6.03,0.410958904,150
5.99,0.328767123,120
5.99,0.328767123,120
0.28,0.493150685,180
6.2,0.657534247,240
20.17,3,1095
4.04,5,1825
90.19,2,730
5.24,0.164383562,60
55,2,730
8.95,10,3650
6.15,0.739726027,270
16.25,0.739726027,270
17.04,10,3650
4.3,2,730
30.05,2,730
13.11,0.821917808,300
5.06,3,1095
10.03,13,4745
10.03,13,4745
7.07,14,5110
117.88,3,1095
58.03,8,2920
4.04,2,730
7.07,14,5110
43.14,3,1095
0.05,15,5475
0.07,0.410958904,150
7.16,8,2920
3.82,0.739726027,270
6.96,1,365
38.03,1,365
10.98,0.657534247,240
14.84,2,730
4.24,3,1095
0.32,3,1095
0.32,1,365
4.36,0.246575342,90
5.3,0.246575342,90
7.18,3,1095
4.32,0.493150685,180
45.2,2,730
20.01,4,1460
0.81,0.038356164,14
5.25,0.082191781,30
5.2,0.082191781,30
5.15,0.082191781,30
5.19,0.082191781,30
