age_upon_intake_(years),time_in_shelter_days
7,1.215277778
6,0.04375
6,25.05833333
6,9.002083333
13,0.334722222
9,1.074305556
7,5.931944444
9,10.56180556
8,5.947916667
6,14.86527778
9,1.95625
10,1.109722222
8,58.77916667
7,0.865972222
8,0.252777778
9,29.77361111
9,15.01041667
7,6.735416667
12,1.182638889
9,4.14375
9,5.842361111
9,2.514583333
8,1.161111111
7,4.223611111
9,5.05
7,0.9875
15,0.19375
6,3.960416667
10,0.075
13,0.085416667
10,0.959027778
7,26.98541667
9,0.83125
10,8.8875
7,9.08125
7,50.38333333
10,0.099305556
11,29.0875
6,0.048611111
9,4.866666667
11,15.92013889
14,0.931944444
8,0.9125
9,1.2375
8,2.131944444
9,1.231944444
10,0.129861111
8,22.07222222
6,32.04722222
9,0.169444444
7,11.85
8,10.17361111
11,8.085416667
8,7.0375
8,0.226388889
8,16.88541667
11,4.086111111
10,44.59305556
9,11.19791667
9,3.069444444
8,0.082638889
7,0.070833333
13,0.122222222
14,10.27013889
10,9.158333333
9,0.097916667
8,0.055555556
9,1.113888889
7,0.288194444
8,0.101388889
7,0.226388889
7,0.165277778
10,1.03125
10,6.0375
7,13.08194444
11,0.191666667
12,142.0618056
13,2.222916667
13,0.8375
6,0.000694444
13,5.664583333
6,15.17916667
8,110.875
8,5.153472222
8,0.952777778
10,0.6875
8,0.125694444
11,3.902083333
12,0.171527778
8,74.85694444
8,39.75486111
10,2.904861111
11,0.074305556
9,5.086111111
6,29.19375
6,10.00833333
14,0.107638889
7,0.023611111
10,0.055555556
7,0.971527778
9,3.922916667
9,131.8666667
8,9.779861111
8,0.860416667
7,2.971527778
8,1.006944444
8,9.152083333
7,3.904861111
6,7.104861111
13,1.05625
10,0.082638889
9,3.954861111
6,1.832638889
10,14.82986111
9,346.1965278
7,25.03263889
7,2.004166667
9,0.144444444
8,2.000694444
9,0.709027778
9,37.04722222
8,1.079861111
7,9.95625
8,49.0625
10,0.120138889
7,8.891666667
7,9.720833333
6,0.740277778
10,0.035416667
7,3.964583333
7,3.105555556
10,33.61944444
11,1.702083333
7,0.063888889
7,0.11875
10,8.842361111
7,194.2152778
7,3.002083333
3,0.794444444
9,0.238888889
6,8.188194444
16,2.974305556
7,0.142361111
9,6.060416667
11,0.143055556
5,2.220833333
7,10.86597222
9,126.925
7,11.05486111
9,5.605555556
9,11.89097222
9,15.04930556
8,0.019444444
6,6.222222222
7,0.828472222
6,0.495138889
6,0.063194444
13,37.19166667
11,0.140972222
6,4.094444444
9,0.344444444
11,10.8375
11,3.140972222
9,0.097916667
8,3.239583333
8,46.01666667
12,2.123611111
8,0.299305556
8,2.097222222
7,3.672916667
6,7.255555556
7,0.059722222
7,0.188888889
6,12.99097222
7,6.395833333
11,0.955555556
5,1.001388889
7,7.002083333
5,0.184722222
7,11.18472222
6,13.14097222
6,6.765972222
8,1.979861111
8,0.863194444
9,2.98125
7,4.181944444
10,0.107638889
9,0.131944444
10,2.061111111
8,1.8375
6,12.10486111
7,2.122916667
6,29.04236111
8,0.103472222
7,189.8506944
14,4.711111111
10,0.117361111
10,0.990277778
6,0.882638889
9,1.758333333
7,7.997916667
9,0.109722222
9,1.270138889
9,0.858333333
14,31.15833333
9,46.85208333
10,57.82847222
10,2.292361111
9,41.57777778
6,12.18819444
8,9.702777778
5,0.052083333
9,1.195833333
10,12.25902778
11,13.06666667
11,1.854166667
11,23.86944444
6,0.040277778
5,0.086805556
9,6.995138889
9,8.886111111
8,0.300694444
9,5.089583333
6,4.097222222
6,7.894444444
6,0.0375
9,4.722222222
6,8.005555556
5,0.076388889
8,0.095138889
8,0.106944444
6,6.155555556
9,24.14375
7,0.060416667
10,5.036111111
7,0.159722222
8,1.023611111
7,0.325
7,1.00625
5,171.8888889
7,10.8
12,15.9625
10,8.865277778
17,2.127777778
5,8.835416667
